east,north,up
-0.5967295909100033,-0.2589048485569283,1.1753676475133756
-0.41564607884267013,-0.03892623598778835,0.8225659383341144
-0.3175522938564759,-0.42544896812847666,0.42731892190926346
-0.03984440859736944,-0.26080303792782916,-2.3799481981768054
0.18090777585380302,-0.15992097260597762,-4.021602978655021
0.6527713581544374,-0.3718320255636951,-5.02444367311173
0.67026913400346,-0.12865103551066054,-2.587512539611449
0.6057723881885005,0.04709191257611864,0.8792274049926094
0.4163676063035792,0.6942393428693234,2.7244865801418703
-0.03601574199207096,0.7581154648871679,2.5350733930165394
-0.42947905118703755,0.08794671886982193,2.055236256722099
-0.5614179686537227,-0.05803224524129244,2.2187324016423737
