east,north,up
0.274630703603622,0.2706070155542488,0.6169398838798791
0.5326364920557765,0.10740120924350549,-0.6162219155032662
0.215519925822451,-0.34004880101724094,-1.0240566029343914
-0.1633173357533048,-0.15718113790360505,-3.3090702080902954
-0.32180351146741526,0.1909994151432588,-4.225057137943877
-0.37657269793421394,-0.18884637589590175,-2.500201272098534
-0.4647085240744721,-0.0938272904439788,0.6814192551105196
-0.1531359558390021,-0.2898866270942608,2.791889400983495
0.11392922233424631,-0.07426050208678527,3.5103038561116238
0.09240938392483454,0.12199198970945008,1.5455436793828206
0.08007712199463968,0.1118457928141042,0.7100761170870038
0.09549138772312271,0.2752166771346663,0.9395233503535251
