east,north,up
0.13866777088926072,-0.7182639260853708,1.962994167120919
-0.10619302053356426,-0.2740308996783926,0.41199663970623934
-1.5317862595114464,0.13459645254557295,-3.4538345613009565
-3.864193318456658,1.67138637935274,-6.43220229386714
-4.263470426088982,2.3439651088431894,-8.148860266107869
-2.878336028344961,1.6117440533874021,-7.77142318458516
-0.0011188349020143607,0.5410447183617241,-2.9814426622022343
2.654104205015551,-0.6631841293038973,2.8165138512020658
3.758120958780881,-1.0096526190144235,5.99299459602916
2.991691400730233,-1.022632287635962,6.2977588916832605
1.4280927583960537,-1.1824742521826577,5.440167449256802
0.7583655175363119,-0.9222550340636981,3.525191594675785
