month_day,east,north,up
01-01,0.20985979046444547,0.4858033682544449,2.8561749031506527
01-02,-0.06773045996377625,1.6705179635236496,3.1696920465700478
01-03,0.493301001347207,-0.006344382733473338,1.7930687144037083
01-04,0.26609906121019755,0.6655003000071062,0.5686050011555457
01-05,0.13373045440652578,0.38617831608102016,3.0471412879073796
01-06,0.611861847602848,1.250189665488268,4.728177574659216
01-07,0.4976599074658439,0.8780343482288465,5.853380528077712
01-08,0.9131246339955018,0.7612123643027608,4.939250148162881
01-09,1.1954226938584924,1.0062237137100096,5.141953101581383
01-10,-0.3762792462785171,0.6380683964505923,7.867489388333219
01-11,-0.09364785308219425,0.5764130791911731,6.4646923417517215
01-12,-0.4906831265525355,1.5979244285984207,5.899061961836888
01-13,0.16578159997712602,0.9454357780056672,5.381598248588723
01-14,0.19407965984011843,0.0492804607462504,8.596801202007226
01-15,0.23437771970310659,0.5539584768201636,8.060004155425721
01-16,0.5343424462327653,0.4023031595607443,8.759373775510893
01-17,0.7868071727624241,0.2241478423013241,7.844076728929395
01-18,1.3017718992920821,0.4738258583752395,4.437779682347897
01-19,0.9060699591550749,0.6553372077824867,4.101815969099729
01-20,0.6735346856847341,0.554348557189733,4.627852255851561
01-21,0.4283327455477233,0.6118599065969813,6.384221875936731
01-22,0.7512974720773821,0.8998712560042286,7.388758162688567
01-23,0.5399288652737101,1.0145492720781457,4.199127782773736
01-24,0.08572692513669833,1.0610606214853922,3.0383307361922376
01-25,0.25869165166635694,0.5120719708926442,4.614700356277406
01-26,0.6009897115293493,0.7554166536332195,4.278736643029238
01-27,0.7199544380590077,0.16342800304046926,2.24377292978107
01-28,0.5300858312553313,0.21227268578105077,3.4938092165329073
01-29,0.5113838911183248,0.34295070185496385,3.9026788366180782
01-30,1.2348486176479836,0.3044620512622132,1.90138179003658
01-31,0.9991466775109729,0.24497340066945808,2.3644180767884113
02-01,1.0751114040406342,0.6858180834100417,3.164621030206911
02-02,1.4549094639036249,0.490829432817286,1.8933239836254125
02-03,0.8690408570999493,0.8668407822245374,1.3945269370439133
02-04,0.6525055836296074,1.4383521316317853,2.1697298904624156
02-05,0.6788036434925967,1.264696814372367,0.39193284388091804
02-06,1.0126017033555883,0.43370816377961346,3.0903024639660863
02-07,1.240233096551913,-0.031280486813137255,4.062672084051254
02-08,1.2160311564149067,0.3138975292607733,2.1947083708030855
02-09,2.075829216277896,0.00024221200135669344,1.894244657554921
02-10,1.3751272761408864,0.82308689474194,0.392780944306758
02-11,1.7752586693372123,0.9105982441491846,2.2401505643919286
02-12,1.5755567292002042,0.29844292688976765,-1.0623131488562396
02-13,1.1970214557298633,0.5819542762970155,-2.0457768621044075
02-14,2.3096528489261905,-0.32136770762907174,1.760092757980761
02-15,1.921284242122515,0.054976975111509306,-1.8162042886007377
02-16,1.2524156353188374,0.9336549911854234,-0.9013346685155694
02-17,1.0493803618484978,0.5441663405926713,0.7575349515696
02-18,1.4448450883781556,1.041511023333253,-2.3380954283452318
02-19,1.0978098149078133,0.10385570607383354,-3.632059141593396
02-20,0.7726078747708046,0.378533722147749,-3.7470228548415636
02-21,1.0042392679671306,-0.10928826177833806,-5.694319901423064
02-22,1.3092039944967884,-0.017276912371091562,-7.450116948004561
02-23,0.8013353876931136,-0.527932229630509,-7.30124732791939
