east,north,up
0.18022841548056412,0.08609160643628419,1.7904616496329993
0.2675513546811195,-0.4922640223453576,0.6631744030813179
-0.1066400758357241,-0.756245883944754,-1.2389725735918484
-0.5498912866383552,-0.13753437278570801,-3.5430865348788454
-0.8880107057146408,0.0962272804002001,-4.861331247150083
-0.7805967197730055,-0.3546185932956132,-5.197685708525263
-0.4484789345482162,-0.2409778720093458,-0.6440847577140647
0.28106368769973844,-0.0641283573725312,1.6428317434014212
0.8001438467147838,0.2194426293137837,2.930521589273535
0.6508263317603608,0.6238653219262155,2.2762116350668133
0.28164287872244037,0.5346003906863132,2.671988408616397
0.1657870232118737,0.36603580613259,2.5715659366885064
