month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,-0.027605227936901552,0.407427730528226,2.51179875181544,5.10101771275118,5.1955074660777605,4.554664639153972,2.335362881592564,10.358803898215406,2.3294961063934467,0.7611676297887957
01-02,-0.012510826819458887,0.39097878423954907,2.5275933022522827,5.114633814052042,5.201510995141508,4.6000642379247525,2.3548142295544534,10.387552076772117,2.362964485761992,0.751098441367271
01-03,0.012249728467743257,0.35451421190562044,2.5561308065580124,5.141301810803049,5.208819774655399,4.63020335750315,2.361026823874695,10.37277978026259,2.3644481583630315,0.7608831795994432
01-04,0.033194630767771426,0.3113374831283329,2.576885494302614,5.165989786230894,5.209355207213773,4.6418816475419025,2.390727696286907,10.348204201281261,2.355317759966971,0.7869800849538067
01-05,0.04355335709905767,0.26434234396379264,2.544629417895046,5.185508190417882,5.202064283064735,4.6624118181791925,2.4480718995026693,10.311062413201386,2.391400478597226,0.7961176201040848
01-06,0.04301767057163928,0.2221721858492631,2.487997393308243,5.202619988207611,5.198080859537544,4.6587833475158495,2.474336807256994,10.275479197652002,2.4190179008738526,0.7931962554579367
01-07,0.03204308447403215,0.18518889798053437,2.41824566502209,5.219098905236824,5.194512644410203,4.639167364830905,2.484069908816556,10.252988836856147,2.421359272201377,0.8009169140908438
01-08,0.023341954104314236,0.16538011638171723,2.367759119702408,5.245653113177958,5.203065628545395,4.629817545809195,2.5095648589895645,10.172002807506216,2.440838629715291,0.7976304265661592
01-09,-0.026258728767252614,0.15189517551683038,2.6514282584650366,5.27211388697621,5.2566254776972725,4.639691659441954,2.560308465663201,10.226766639650181,2.4377854988909204,0.7959752690101528
01-10,-0.06696999036042268,0.13679836466010759,2.944061112383889,5.295920115918997,5.319801945865889,4.590382992834881,2.531204182004109,10.766120482856822,2.375802689408679,0.9471784819676117
01-11,-0.1078348279421608,0.1124228774570105,3.2690701325958424,5.314299166957891,5.384973072703448,4.594266478413012,2.5624750177492035,10.896597724691011,2.3729484207850287,0.9650637556869983
01-12,-0.1076617186753841,0.08487341164916755,3.2931916723815178,5.330094696761607,5.40606549849432,4.577244306027323,2.596159269310434,10.87466990176142,2.356988895537593,0.9632203123120605
01-13,-0.10937154448776391,0.05661117639591536,3.3157749946416644,5.342717254335159,5.425079304333816,4.573155691401925,2.6168806146294203,10.80777062664408,2.347898394446662,0.9501198156128048
01-14,-0.11922491682707993,0.029604564873056294,3.3434311024601286,5.350517523013107,5.440206821278608,4.560895654035122,2.6460897466209894,10.834549786338373,2.3360553989905113,0.9530696040065704
01-15,-0.12715341680713202,-0.0025520234961789825,3.372425298532924,5.354967112266422,5.457587993787457,4.574167918060021,2.666725198136513,10.835193691632233,2.3518412388020895,0.9459772987204882
01-16,-0.13274627236688785,-0.026694609613785763,3.426647307262923,5.362315532581232,5.468819073854569,4.56525837880278,2.7055735818456927,10.838270116185296,2.347628715944648,0.9444969631381617
01-17,-0.13376867492214076,-0.05507175120895493,3.488752473260757,5.372700135330557,5.482385294527582,4.593526579732245,2.7306571727085793,10.807809170697016,2.388974201542253,0.9636577324887653
01-18,-0.12460342301303313,-0.08373569930351861,3.562641947108157,5.38454030040172,5.49723602256019,4.591224529791118,2.735859936560286,10.852465213472275,2.377369726837495,0.9874182933344742
01-19,-0.11288653802748916,-0.12233425674728915,3.6615482027872956,5.385023905271144,5.520702649605643,4.581047619968152,2.7302340002426275,10.93716025708988,2.37547506974619,1.0068591641899158
01-20,-0.095833094104619,-0.15589225527344855,3.753597381273431,5.369239876451071,5.540038845420621,4.585702278640986,2.7082129376247726,11.066882594137814,2.380518968127572,1.0284000222004093
01-21,-0.08317941545638304,-0.18116420921208717,3.8350528603294904,5.353729198297326,5.559868001080125,4.563119584589774,2.7262268760204984,11.197113792196381,2.3821375756403067,1.0588320301667404
01-22,-0.0762871653972819,-0.19885548949287504,3.918819613765077,5.3494237796521915,5.582440606455935,4.564497575476232,2.722668491788127,11.302258393418398,2.3718395588384853,1.0829841304440222
