east,north,up
-0.4337127207942793,-0.5282682304907383,1.0262475962812583
-0.4180216787279012,-0.34626463206136754,0.4439297178351396
-0.4858270524757366,-0.7070138445562405,-0.22805272116618241
-0.3573994790125847,-0.4616065384602933,-3.018011887161426
-0.020939071790547114,-0.1056250385784212,-4.454093079168876
0.3366204273451549,-0.13282578922515492,-4.720640721333771
0.43687992050046415,0.20278395797287355,-2.0503304284386408
0.5613020288218743,0.4911138109221745,1.5894517180245078
0.6625161763639507,0.9068616324225576,3.603851250357013
0.16158043002756883,0.7957600404221488,2.9339176429588867
-0.1471115235424381,-0.06262962586955952,1.7711014353652583
-0.30485015727697956,-0.16504748633843158,1.8264183032464307
