east,north,up
0.3920074362160709,-0.4380222383729891,2.719543787250481
1.442458632290431,-0.07475089019856979,0.9928107182065421
1.0987593933844086,-0.662484612320389,-2.394363038585744
0.48249939526612384,0.02234492362102623,-5.802720539297858
0.2430825929835365,-0.08762281825341979,-7.315549568334463
-0.8395166302231231,-0.3135602316765675,-6.943661988566598
-1.5998276547944588,0.11854747734195112,-2.696280601797157
-0.7750773148680219,0.6305916248372186,2.5332780364399854
-0.13713367439757168,0.5300623549547235,4.580246239403915
0.020362597611142255,0.6430848216172597,4.818450348197223
-0.2586733884446609,-0.10325606297468387,4.315097378137484
0.16171236540979514,-0.33113699357473947,3.751989926520303
