month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.022848673339658357,0.05576411901712023,1.7930867529198824,1.9178869288935079,2.891839904569526,0.5977952620291679,1.5392263686737317,3.9101634964843304,0.7245329728982635,0.698134432408146
01-02,0.03360348691615842,0.0573457461150362,1.8235388578319218,1.9265367152865058,2.8878080923779277,0.6043024685313982,1.5685835869250235,3.8077814550096556,0.7319808999897416,0.702287767413144
01-03,0.04465107827043623,0.059145706546285516,1.8665015182995166,1.9331881594903142,2.8934984296018644,0.6184167604937932,1.5854999898175888,4.028137813915124,0.7258770422633689,0.7926146846457982
01-04,0.05721681653454749,0.06431396074211751,1.8987504503458175,1.9470761205070146,2.891480741838678,0.6365897635122498,1.583895990689781,4.162953283641699,0.7332700060135295,0.8305834511130153
01-05,0.0649242214653254,0.06685638160461614,1.9055877157254517,1.9569339496135327,2.897355886697632,0.6283688045002059,1.6081969211935612,4.29875735882199,0.7370545948640258,0.8635221124855635
01-06,0.059789126396103356,0.07536796913378147,1.9079799811050857,1.97211894376128,2.9142110400790098,0.6348726127335607,1.6318222574388541,4.317165198763845,0.7339104696734139,0.8544321832360098
01-07,0.04888819799354802,0.08466705666294677,1.8695122464847198,1.9878251841669672,2.926316460744196,0.6646899938091249,1.664702750229253,4.432045181228212,0.7124837245145843,0.8652281718187709
01-08,0.0377813674356806,0.09494881900159369,1.8748349565936409,2.0108269866953306,2.947794325963261,0.6557055124943504,1.7056745216852445,4.500737849143043,0.7326198321752883,0.8662662328558187
01-09,0.06554241633465024,0.02167134813020536,1.8935035561395543,2.078932195060102,2.975716707536077,0.6627349912336471,1.752595696734759,4.537080683577837,0.7470023556655241,0.8880644388085158
01-10,0.10145971057904893,-0.05457916389409442,1.9159089176364215,2.1421323971970256,2.9959245600393434,0.8153775893188484,2.0036545934564143,4.234841123815093,0.9359846396410766,0.8505140477428931
01-11,0.14597409131084113,-0.13110251796314898,1.9482469665657898,2.2039549168211634,3.0108232064249996,0.8531925480385204,2.0033021130739943,4.216644187384435,0.9336536516677417,0.8493051727908415
01-12,0.19854526572247172,-0.2098018647921565,1.9764663688282398,2.2519052046314134,3.0254745882429503,0.893417999364461,1.987516621718169,4.206851307578942,0.937991719670145,0.8480270151424952
01-13,0.2185089913312661,-0.20977947668867397,1.9772161832546389,2.253442239663206,3.024389391755,0.8964680626461455,1.9590199128681436,4.243513506980678,0.9309662862190433,0.8515750364200683
01-14,0.23955658309825542,-0.21121468491633424,1.9613758628650848,2.2510222203684185,3.024991082976096,0.9138313122476706,1.9491194708281108,4.24321824732583,0.937218914996828,0.8537622835722558
01-15,0.25529733688856016,-0.20781920326309172,1.9773730706132295,2.24743768319415,3.0285392922273617,0.9303842375152401,1.9230814031886139,4.340206857400717,0.9236105433450895,0.8472853147339606
01-16,0.27203008337464485,-0.20918607501905348,1.9772217555121774,2.2568458247504064,3.0279796752938832,0.9588937268843092,1.919428159521363,4.466042862078483,0.9135322463402882,0.8911777567270256
01-17,0.2896372003554427,-0.20546107370980612,1.9891613271289788,2.26825512822396,3.0255274525802784,0.9840993155369572,1.935624145640176,4.375971595685687,0.9288083798877472,0.8781977453358224
01-18,0.3091895998497962,-0.19812773419806623,2.033888025327192,2.284759005916011,3.015672387740326,1.006437065082689,1.9492554416975558,4.321600929950139,0.9459240780752151,0.8991789362222115
01-19,0.33676013067879246,-0.19817969702046706,2.0472889686128513,2.2991468489066067,3.005977219171709,1.0167903519787447,1.9498872890566783,4.272157254318679,0.9297075217681896,0.9283469411924417
01-20,0.36544056916280526,-0.19419981772138728,2.0552355666515325,2.300370040870236,2.996614481125635,1.010026939133272,1.9259143507184517,4.252174597812453,0.9173102664608591,0.9290534912844026
01-21,0.3939640609388622,-0.19530883166890728,2.0686241080988665,2.291636225855438,2.9972342593909427,1.0136163981094215,1.899231558910165,4.25730831640939,0.9211688827232947,0.9272224356379075
01-22,0.4186521343506189,-0.20256453449077108,2.05101295179966,2.2718225771201457,3.0010033600729566,1.012494406522379,1.8476087386217368,4.3676047732710375,0.9058596009186436,0.9486269355818256
01-23,0.4344835459941456,-0.20615775581903256,2.0521110120248007,2.2473368774150577,3.0052943044795106,1.0238693657686053,1.8138650541172423,4.354408957956367,0.9063770632517946,0.9395931898095158
01-24,0.44811464141522883,-0.21404090879227725,2.0518950315869535,2.223254227884955,3.0099150564471597,1.0319617581512908,1.7809358702524762,4.388052722075426,0.8964167913783063,0.9422100735436824
01-25,0.4632441591193617,-0.21481897860538718,2.041220743327246,2.206152195764992,3.0123544000069473,1.0573321339490724,1.7654965613601232,4.464308306194201,0.9224206389940438,0.9389699524803421
01-26,0.4830856729047452,-0.20741188209822756,2.038030596999576,2.194425661722111,3.0142384917217515,1.0848534120486757,1.7376958284605737,4.590383914499934,0.9362341352654637,0.940955467053894
