month_day,East,North,Vertical,Horizontal,3DDisp,East_sd,North_sd,Vertical_sd,Horizontal_sd,3DDisp_sd
01-01,0.04160082404649498,0.19690173052904109,2.5533160940330766,2.942930161658058,4.269273643114685,1.8285769692909788,2.51514529658583,8.550211188013488,1.324048301116178,0.9526887665750007
01-02,0.03252188787780441,0.19316005386208868,2.5761618246210984,2.9443538478701634,4.260834859266762,1.832359531443989,2.509820084486267,8.543305442596775,1.3228371295883,0.9632619772642069
01-03,0.016422185475063914,0.19109238680269347,2.6311029589997568,2.9478336946590296,4.249133563264617,1.838795050348336,2.512802271752188,8.46635438123512,1.3211839895625346,0.9770759802312656
01-04,0.003472809869708958,0.1932547851027754,2.6880284071039053,2.9529495357539712,4.2381806636874115,1.8482936813202304,2.532929545001947,8.525929006190825,1.3441329670849904,1.0274469132371786
01-05,-0.007658265082051141,0.19537469974272645,2.7389584303714525,2.9557910937022918,4.236546336682838,1.8590209617240057,2.5309036994295684,8.564612107441311,1.3439032787832799,1.0536062696357082
01-06,-0.016962542648190443,0.1928057254937888,2.775283878475601,2.958003707402829,4.234672486066579,1.8585133038783876,2.516236574615207,8.551757768835904,1.3225149287973177,1.0429569888744339
01-07,-0.02009492478949311,0.18139492117949163,2.785758346187593,2.953930379512252,4.225066480398319,1.8726851474407715,2.5149907798627353,8.475437851507193,1.3135998352206941,1.0401657662412458
01-08,-0.017632490290897498,0.1705409624225872,2.829394525648143,2.950941331594672,4.2115650161775795,1.8796231959105278,2.487658454777326,8.441264190117495,1.3150801454144723,1.0538698063344905
01-09,-0.01282605614586751,0.1620997315760165,2.8996685606481005,2.9472414595865994,4.194794364101668,1.886947147891031,2.4808198474079792,8.38773809778943,1.314172575020998,1.081471804163161
01-10,-0.007705342722914361,0.1534080879935332,2.986756709946406,2.9495540827051983,4.186598117003486,1.911095568651939,2.4641934213032908,8.29261440285073,1.3152312235256514,1.1002770844403973
01-11,0.0006922498708888877,0.13794112632300848,3.0260558205372927,2.9550071458883536,4.187987544174451,1.920492433987906,2.466132382834567,8.327323283606276,1.3240513443367385,1.1167760977162837
01-12,0.01103453209305851,0.12135342172784126,3.0445185067998453,2.9631587171744607,4.198050098003482,1.939315943173701,2.463532414240005,8.37378782302887,1.320717777374497,1.107168235704189
01-13,0.020876714508184114,0.10563752661898355,3.0391920393868888,2.9780448149787317,4.204319811720038,1.9406180331045093,2.4784858885861425,8.355050995110073,1.3217192339839456,1.0954663274823961
01-14,0.0256581126095843,0.0936052916408447,3.0437152451765477,2.99996014654286,4.205168593438153,1.938188199553132,2.5064400346874893,8.324200373154627,1.3267394928248843,1.0905175858874487
01-15,0.034129053194644605,0.07669201091107175,3.0265933529269904,3.0233636961762405,4.1998138450180775,1.9541566749096042,2.536734016610429,8.3401654340823,1.3356422749057677,1.1013950165621922
01-16,0.03912613757055459,0.049181344560383915,2.9952825717885436,3.040909476653036,4.194607774634778,1.961443432692145,2.5639466176513896,8.360128425029673,1.342076917099856,1.11364883106138
01-17,0.0400736485508942,0.0181145549978964,2.94827859138443,3.0581498063825614,4.187474777300988,1.960576085679706,2.553575918293208,8.3379236233959,1.3139786704150795,1.0993461708016896
01-18,0.036022666334864506,-0.010855984256164608,2.937729388919568,3.0727841094828796,4.180233631319649,1.980539501243352,2.562270779161763,8.33787152371338,1.2958483497530497,1.0961325760900433
01-19,0.03332743928847858,-0.02959890065277963,2.951889866354744,3.0945069082216627,4.1781854125622715,1.985916408023349,2.543017039211307,8.285530315562642,1.2771544178994072,1.1147899955404204
01-20,0.03971727936939823,-0.042167874901717355,2.9641205432170623,3.1084827158643082,4.184008929908539,1.9881565793792813,2.5784801451588715,8.379939343832206,1.2887052063365658,1.153165948602774
01-21,0.04640711945031787,-0.04933031320294268,2.9464878213865706,3.1221064334204183,4.192227653760499,2.0002787770251595,2.598846213267769,8.463213254079978,1.308029611890808,1.1553274910715297
01-22,0.04940414907372109,-0.05455615019697833,2.9290407204711113,3.1337816204609834,4.1963762534110876,2.0086857421488404,2.6009106904374657,8.422725721276944,1.312248052137098,1.1525495250089688
01-23,0.04732013294549033,-0.06147349045898787,2.9108785868759135,3.1351131670656467,4.180294522974311,2.030488753013289,2.602607272303387,8.373546945006648,1.3140020321360382,1.157195127242177
01-24,0.04329951551007002,-0.07299802026348108,2.905264165699016,3.133312321302894,4.1658565647197285,2.058496288193882,2.551236061405452,8.10424446217799,1.3003815075076741,1.1297294630909471
01-25,0.045446871930858834,-0.09040490300915077,2.861869352365256,3.1264464063352517,4.150556962689439,2.0521585731047165,2.5328891714688724,8.014313827223132,1.2829334204656577,1.1143148231031406
01-26,0.04668050286145154,-0.1069411975195264,2.8094418592929333,3.129841215170283,4.1460297551748315,2.0459335566599752,2.5410162279921757,8.073121169016176,1.2744232822349373,1.1246458879349022
01-27,0.048029121073714466,-0.12470296503827494,2.7430114780014647,3.138524272860271,4.141807469990241,2.057245881575759,2.5300451479402044,8.120207501579658,1.2585045292977213,1.1441284639682279
01-28,0.05004274926668186,-0.13013890696970684,2.7272574303782005,3.147441073958023,4.142951450171613,2.056552490860568,2.5418374114992703,8.202840532051232,1.2558988831956666,1.1750139159556683
01-29,0.05330931863611988,-0.11909249595996224,2.7657262585719296,3.154177108268772,4.1533833864969365,2.0630367494130635,2.532571023504437,8.258612482002773,1.2564746177387076,1.1969298730993922
01-30,0.05656416869774383,-0.10096832436014531,2.8341587592985307,3.1622563530361387,4.169175687113316,2.067819754391431,2.515650604508174,8.264668708464955,1.255743331451752,1.193012297562436
01-31,0.06014224407278107,-0.0877673639685602,2.8591508740693463,3.1692616407965395,4.186666212175997,2.0869012121233212,2.511930887304914,8.250195203801598,1.2463392816600776,1.1732677415386068
02-01,0.06564973121252411,-0.08614156697566787,2.8764900476636908,3.1802150505432585,4.204356165788539,2.082773226130397,2.517602564743588,8.333901492971313,1.244741378562192,1.1720793095157023
02-02,0.06718989809082924,-0.09241446279323297,2.854223338905094,3.187563125689213,4.21794581407379,2.0982239699852445,2.5252136046870124,8.408409018832952,1.2469615527085847,1.1851963026562968
02-03,0.06199738523057225,-0.09963376383955624,2.8416069569438833,3.198191644072326,4.227233514312171,2.118400282873537,2.5055966773289637,8.36794264703195,1.228306645181973,1.1708425134634304
02-04,0.05082513380822387,-0.10463214985319975,2.815976849492476,3.2111373073880505,4.234396115815368,2.1340024227833108,2.4881713730482686,8.339263877646188,1.2248627948149662,1.1606903825963517
02-05,0.037646346438163204,-0.11041223521324867,2.7877042583809377,3.225505791143633,4.245556291550605,2.163249010933097,2.51163679812172,8.435252511358943,1.2578901951712003,1.1847522556716648
02-06,0.019266251878559983,-0.1158178107693759,2.767427092106002,3.245200305038668,4.261589954951756,2.154753903586763,2.5362411896933876,8.55737954395578,1.2746273964749455,1.1947730715720506
02-07,-0.002607306733330821,-0.12289332096602591,2.730470187268974,3.264668153432174,4.28283017078063,2.1600356868948465,2.572741805196548,8.618214732290097,1.2843131120123625,1.2014643840623627
02-08,-0.021346224822345893,-0.12352307952868895,2.7149224327587436,3.2889621186667077,4.314258439504235,2.153865527514786,2.6201134252569886,8.746629093922566,1.3140078035720653,1.1917544631628383
02-09,-0.03496161349959621,-0.12435741325475073,2.7069537632158327,3.3153403500522907,4.345497298987605,2.145393807936955,2.672726823247404,8.927799972862049,1.3375210027052231,1.1980386100831724
02-10,-0.042946936817369386,-0.12223684502002836,2.7220288845225955,3.3362102176184973,4.369598775213372,2.148809536819019,2.7118210942213596,9.004375163295384,1.347730814455882,1.2064105234882156
02-11,-0.046319188239717805,-0.11643653822321441,2.7091870123653066,3.3524130078415255,4.374699627820626,2.1385157711122833,2.7346510413866967,9.033972714929885,1.3689493190132107,1.217431279294377
02-12,-0.044919544237229624,-0.1094604144329363,2.6804111532799126,3.363958845152944,4.37478162185213,2.1492783685510837,2.747693975258735,9.018180575095402,1.3900402779505572,1.233189286675283
02-13,-0.037442776051734954,-0.10699082659037062,2.637282353018048,3.3697402513129107,4.372657459129408,2.1408299937914834,2.763832113273674,9.001892666785452,1.3926646357842114,1.2181131261569975
02-14,-0.04092352420610957,-0.10990620606806645,2.613798650795399,3.3718587592421545,4.376771323056002,2.1367167393992137,2.759244446752995,8.962977281859649,1.4078588064278847,1.2081500555121136
