east,north,up
1.0455908973654395,-0.5098529796112189,1.9406652420499417
1.7447901715014325,0.707619172507848,-0.23067910890551235
0.6767858238789475,-0.17950117098386123,-1.8943696262734422
0.17470308335825022,0.8258711384636147,-4.191425516042298
-0.6513670649684443,1.3494033849415856,-6.326105415249929
-1.376520623433388,1.1812523748911372,-6.9615909980213075
-1.3125482218368887,-0.262166530704626,-2.500000083096834
-0.8319643574648014,-0.5320726784164652,2.634555934960512
-0.29465720071245205,-0.6039146494610513,5.009025136340843
0.16151504727421637,-0.053791869188918685,3.074549269391277
0.14755302106733653,-0.6067548416049567,3.9338406067427867
0.34685580456886755,-0.8557143890388426,2.8457083332086826
