east,north,up
2.4191187687997058,-0.426768233698431,-3.2490438499193464
2.4602163325207878,-1.9205125701198207,-6.299057709555123
1.6356911388498532,-3.207332780107285,-8.320151465583075
0.3332828239250527,-1.997691991695176,-5.364492137686127
-1.5070763212989964,0.010503766966130323,-3.9736702950399487
-2.033260412759606,0.559027805197331,-3.3176809255120494
-2.0025804181987095,0.972978079987669,-0.18474273877984937
-1.653055690009947,0.6403343839676384,4.868637900650793
-1.3846098612689541,1.4542329512277092,6.773249883586169
-1.160139464053096,1.3681345519894965,7.266399099586068
0.14017818446674501,0.30944277399391157,6.15166620127428
2.3804894202155022,1.8157533552961322,3.8110446545641854
