month_day,East,North,Vertical,East_sd,North_sd,Vertical_sd
01-01,-0.2743638555424142,-0.015943301868575933,1.559739951205076,0.5649108960181918,0.45220462439458764,2.143570062680631
01-02,-0.28375334261294444,-0.012681278295091533,1.580961293872232,0.5668556979356962,0.4651222775307879,2.1733951705036016
01-03,-0.28871032968347465,-0.009245643610495995,1.6004165254282767,0.5734314486023508,0.48449705895659995,2.221882482101855
01-04,-0.30368680382453517,-0.003263818685749395,1.6231264329848105,0.5800252415382627,0.5050803542886327,2.2714410533343456
01-05,-0.309509111298929,0.004622172905663753,1.6355246738746776,0.5892734556827238,0.522531801770365,2.2574629285000785
01-06,-0.3025089187733228,0.014924831163743667,1.6250020814312114,0.6054994166077744,0.539210813882887,2.2288342185785996
01-07,-0.28615539291438336,0.02340248942182361,1.6123436556544117,0.5934904711150268,0.5571610759093573,2.1742685731094724
01-08,-0.2585602003887772,0.03195348101323695,1.6115685632109453,0.5840468008056172,0.5960755612264858,2.1500610628375845
01-09,-0.22799000786317108,0.04313697260465039,1.6207684707674792,0.5853001950452965,0.640044199545592,2.17892658972614
01-10,-0.19306970828655529,0.05084799941490787,1.6442575805229007,0.5943702484574782,0.682316693690588,2.0798078706474827
01-11,-0.15892752794125356,0.05760742999618674,1.6330209280094308,0.6072927018553804,0.6974620020172599,2.028098089553606
01-12,-0.12952763349393243,0.05779193101515372,1.6286551798937365,0.6217795572675272,0.7063450769939968,2.107175123186126
01-13,-0.10031669161125865,0.05471150247180877,1.6198786695091507,0.624843621104783,0.7312128844688072,2.0972905050168222
01-14,-0.0823814760109085,0.04380110914730789,1.5938313613234523,0.6292739884646913,0.7497811537060962,2.0825977276985657
01-15,-0.06866292707722492,0.02592738248947359,1.5840407198044208,0.6444075080816718,0.7667785765668341,2.050128057772974
01-16,-0.0579627114768747,0.009400322498306022,1.5483609116187225,0.6557076952351379,0.7532136784973703,2.063764512559405
01-17,-0.05510176959420086,-0.008759272711705637,1.5025260679008035,0.6583684592092559,0.7493134825006412,2.109598964887068
01-18,-0.04981354181354643,-0.019358105026072034,1.4554886531184423,0.6490947207425573,0.7530031269309654,2.204345491398997
01-19,-0.04746552813491142,-0.024496174444793087,1.4122695006049724,0.625915493644607,0.7689178314271804,2.2608424654511263
01-20,-0.042774395224962417,-0.023525980967868995,1.373486943693727,0.6098551117020212,0.7987218844250351,2.272011875349157
01-21,-0.03379586936602308,-0.01642998937645565,1.350624351250261,0.6037784152218694,0.7769902560540504,2.2578090091853693
01-22,-0.029153176840416985,-0.01185983111837568,1.3525359254734615,0.5895438446045382,0.7628644565295296,2.2679990975195734
01-23,-0.02331798431481092,0.0023986604730375618,1.3864608330299952,0.5912901695629214,0.7627442880654631,2.319289628915364
01-24,-0.015515291789204754,0.016638818731117482,1.4469474072531958,0.5991316318680343,0.7703097959534594,2.3463863654656922
01-25,-0.009145099263598593,0.024692310322530726,1.4979756481430628,0.5933129037241189,0.7667791008948289,2.349071671444758
01-26,-0.0035665734046590814,0.03701663524727727,1.5372055556995965,0.5819895775503453,0.7828070839003576,2.3964687379308556
01-27,0.0006302857876138017,0.041250126838690476,1.5266162965894636,0.5900037654783329,0.8059482518494925,2.461600374058339
01-28,0.005076311646553286,0.0451411184301037,1.4769687041459973,0.6087333491667586,0.8151672810000619,2.5158153004418407
01-29,0.0093915041721595,0.05709961002151691,1.4168994450358643,0.6194450349917399,0.8198112507616474,2.5858632492416813
01-30,0.022190863364432364,0.07058310161293017,1.3297335192590647,0.6219685200384599,0.8191539486611402,2.6198435924479715
01-31,0.04391022255670524,0.0943882598710101,1.242994260148932,0.5968939715463238,0.7948455739011441,2.677143385155103
02-01,0.0693187484156448,0.11869925146242338,1.1578025010387991,0.5792853239254624,0.7891093947704824,2.6956403993221403
02-02,0.09590227427458432,0.14265524305383676,1.0706982419286664,0.5534349919413805,0.7828102136755889,2.708746528485757
02-03,0.12023580013352375,0.1634770679785834,1.0027573161518668,0.5586088234253409,0.7838518416739438,2.8483025571822287
