east,north,up
0.4336217242311441,-0.5128893195737964,0.7831081044974239
0.8279444059660345,-0.8307322590190684,-0.1406553025455522
0.3463663542054702,-0.9738801372273307,-1.3367736907111074
-0.29836496443394667,-0.39343540801388616,-3.3221510285214464
-0.5867976407941009,0.1556614009993243,-4.268194371263652
-0.5784758920095066,0.18852992217134248,-4.626021088695685
-0.7930097263514634,0.6014813217552724,-1.4488223305280488
-0.3360780643178367,0.6349879459809679,2.791529147392773
0.0808133948079379,0.2713470674280311,4.523622242162143
-0.005095788086973516,0.12973632154722775,2.15988153041027
0.33525224440544954,0.46991260347311453,2.2294867312294935
0.4894401898119558,0.18722505053280714,1.6851033193408997
