east,north,up
0.7121015773562018,-0.29924950563247604,3.491209844568716
1.4062203049427757,-0.4792220960877307,2.302799743139685
0.7299034027598995,-0.6526965685632639,-1.5388213574350913
0.36260081764760194,0.7201271919781376,-4.692348852272448
0.0407446841482065,0.8826189095087863,-5.104684949260346
-0.2796422020393622,0.05884933671685625,-6.248743626893402
-1.0862423056972716,0.16238632792629148,-3.722027336546181
-1.0803691133527455,-0.39938238171355583,0.46390909208304393
-0.4907729739123306,-0.11035708467492517,3.662770111598975
-0.25118566655150937,0.21436086941486476,3.7301331543960274
-0.0028293269326258043,-0.21037493993620804,3.8597620036446907
0.07335543616677102,0.0866554494290108,3.8917628056941784
