,station,latitude,longitude,elevation_m,is_greenland
0,NGFJ,80.56847499999999,-16.841130555555555,35.5,True
1,JWLF,83.11165555555554,-45.11984722222222,112.9,True
2,THU4,76.53710555555556,-68.82495277777777,36.2,True
3,JGBL,82.20875833333334,-31.004208333333334,753.3,True
4,THU2,76.53704722222221,-68.82504999999999,36.2,True
5,NNVN,61.63187777777778,-44.901069444444445,2134.6,True
6,QENU,69.11909166666666,-50.468586111111115,428.5,True
7,YMER,77.43289722222222,-24.326330555555554,1070.1,True
8,AAS2,68.71936944444445,-52.793213888888886,57.7,True
9,EQNU,69.11656666666666,-49.685174999999994,326.3,True
10,ISOR,65.54665555555556,-38.974916666666665,83.5,True
11,TIMM,62.53554444444444,-42.28615277777777,313.3,True
12,KMOR,81.25271666666667,-63.52741111111111,203.4,True
13,BLAS,79.53860833333333,-22.974725,484.1,True
14,KLSQ,66.99560555555556,-50.62023611111111,353.2,True
15,MARG,77.18703888888889,-65.69463055555556,670.7,True
16,HRDG,81.87983333333332,-44.517380555555555,718.5,True
17,KELY,66.98741944444444,-50.94484444444444,230.0,True
18,KLY2,66.986725,-50.95074166666667,293.0,True
19,BLAS,79.53860833333333,-22.974725,484.1,True
20,ILUL,69.24041666666666,-51.06075833333333,55.8,True
21,KBUG,65.14368333333334,-41.15754722222222,290.7,True
22,DGJG,71.78653333333334,-29.850208333333335,1494.2,True
23,WTHG,73.9552,-24.308922222222222,1109.9,True
24,AASI,68.71931666666667,-52.79334722222222,56.4,True
25,HJOR,63.418211111111106,-41.14787222222222,762.7,True
26,DMHN,76.77107777777778,-18.655677777777775,55.5,True
27,GROK,78.4427,-22.903766666666666,1046.0,True
28,TREO,64.27706944444445,-41.375080555555556,122.0,True
29,HMBG,73.67598333333333,-28.129072222222224,1322.9,True
30,PAMI,62.01156666666667,-49.670966666666665,99.7,True
31,SISI,66.93430555555555,-53.672863888888884,112.9,True
32,DKSG,76.35161944444444,-61.67765833333333,608.9,True
33,QEQE,69.25262777777778,-53.522330555555556,48.8,True
34,KULL,74.580625,-57.227066666666666,94.1,True
35,SCOB,70.4852361111111,-21.950841666666665,128.7,True
36,SCO4,70.48533333333333,-21.95033611111111,128.5,True
37,STNO,81.60014166666666,-16.655455555555555,69.2,True
38,QAQ1,60.71526388888889,-46.04776111111111,110.4,True
39,SCOR,70.48533333333333,-21.95033611111111,128.5,True
40,KAGA,69.22230277777778,-49.81463333333333,150.0,True
41,TIN1,68.80124166666667,-50.463188888888894,537.3,True
42,LEFN,80.45668333333333,-26.293466666666667,692.2,True
43,GMMA,77.80942777777777,-19.652119444444445,521.9,True
44,LBIB,75.89380833333334,-23.852947222222223,1483.5,True
45,SCBY,80.26013333333333,-59.59362777777778,544.4,True
46,QAQ2,60.71531388888889,-46.047919444444446,110.6,True
47,KLQ3,66.99560555555556,-50.62023611111111,353.2,True
48,KULU,65.5793361111111,-37.14936111111111,67.6,True
49,MSVG,72.24082222222222,-23.912866666666666,88.2,True
50,KMJP,83.6432388888889,-33.37708888888889,85.2,True
51,UPAK,63.095422222222226,-41.315911111111106,119.9,True
52,NORD,81.60014166666666,-16.655455555555555,69.5,True
53,AVAN,69.10635555555555,-50.996158333333334,460.5,True
54,VFDG,70.299925,-29.817644444444444,1293.5,True
55,UPVK,72.78828888888889,-56.12800555555555,164.9,True
56,KAPI,64.43235277777778,-50.27121388888889,104.1,True
57,THU1,76.5373,-68.788,55.0,True
58,DANE,74.31194722222222,-20.199830555555558,177.1,True
59,QAAR,70.74040555555555,-52.688377777777774,53.1,True
60,SRMP,72.91067777777778,-54.39371111111111,370.6,True
61,SENU,61.06958055555556,-47.14131944444444,667.0,True
62,THU3,76.53704722222221,-68.82503055555556,36.2,True
63,KSNB,66.86328055555555,-35.57631944444445,1721.0,True
64,PLPK,66.89772777777779,-34.03346388888889,122.4,True
65,LYNS,64.43048333333334,-40.198055555555555,174.1,True
66,KAGZ,79.13195833333333,-65.85296666666666,86.7,True
67,HEL2,66.40115833333334,-38.21570833333334,425.1,True
68,ASKY,75.72612777777778,-58.257355555555556,687.4,True
69,NUNA,69.20386111111111,-50.45365,229.5,True
70,NUUK,64.18355277777778,-51.731163888888894,109.4,True
71,UTMG,62.92720833333333,-43.30642222222222,1471.2,True
72,MIK2,68.14028055555556,-31.451825,815.9,True
73,KUAQ,68.58699999999999,-33.052749999999996,865.2,True
74,KSUT,64.07069722222222,-52.00769722222222,40.7,True
75,RINK,71.8485,-50.993966666666665,1337.9,True
76,NRSK,79.15503055555556,-17.725419444444444,348.0,True
