station,lon,lat,disp,year,Amplitude,Peak_DoY,Min_DoY,Time_MintoPeak
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2006,23.098828656184814,34,142,108
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2007,11.875714879451792,2,131,129
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2009,9.590536481809767,315,179,136
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2010,12.39988185352047,286,169,117
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2011,14.177626076946272,328,171,157
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2012,16.363556924859097,59,156,97
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2013,7.968246034766632,39,176,137
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2014,27.385300366677665,363,178,185
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2015,29.85014053044474,62,158,96
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2016,26.853963445634783,79,111,32
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2017,25.46502631404888,55,142,87
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2018,11.935900663055929,44,164,120
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2019,16.437135333524864,335,139,196
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2020,9.474815731358424,255,136,119
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2021,11.376638115323638,256,116,140
AASI,"23   -52.793347
Name: longitude, dtype: float64","23    68.719317
Name: latitude, dtype: float64",Vertical,2022,10.13428699116469,61,170,109
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2008,19.036949025614234,284,122,162
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2009,12.87412618421716,275,164,111
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2010,27.458387094609357,333,86,247
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2011,15.60558495851646,253,164,89
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2012,26.683095079430554,281,130,151
HJOR,"24   -41.147872
Name: longitude, dtype: float64","24    63.418211
Name: latitude, dtype: float64",Vertical,2013,14.095062209573218,12,92,80
